date,currency,rate
2023-01-01,BRL,5.522925726712294
2023-01-02,BRL,5.50759836051976
2023-01-03,BRL,5.530296191293475
2023-01-04,BRL,5.5603585974062195
2023-01-05,BRL,5.540813965698838
2023-01-06,BRL,5.560633628602454
2023-01-07,BRL,5.52586785718647
2023-01-08,BRL,5.478747944730243
2023-01-09,BRL,5.485911932664234
2023-01-10,BRL,5.4433041512297615
2023-01-11,BRL,5.516016856192518
2023-01-12,BRL,5.520319646588039
2023-01-13,BRL,5.527804294729513
2023-01-14,BRL,5.462061926090981
2023-01-15,BRL,5.496849394256004
2023-01-16,BRL,5.448066804405303
2023-01-17,BRL,5.435276751534285
2023-01-18,BRL,5.458627476675802
2023-01-19,BRL,5.464663308860334
2023-01-20,BRL,5.558473916224516
2023-01-21,BRL,5.506049919164295
2023-01-22,BRL,5.465731424031425
2023-01-23,BRL,5.5400206953773825
2023-01-24,BRL,5.491933243748699
2023-01-25,BRL,5.482413808261085
2023-01-26,BRL,5.4632054762976905
2023-01-27,BRL,5.437547646238455
2023-01-28,BRL,5.457283174109902
2023-01-29,BRL,5.483950882487083
2023-01-30,BRL,5.5575658978884155
2023-01-31,BRL,5.524005358207476
2023-02-01,BRL,5.510727437295454
2023-02-02,BRL,5.488364958489384
2023-02-03,BRL,5.512283413797595
2023-02-04,BRL,5.448768763268906
2023-02-05,BRL,5.463392740215837
2023-02-06,BRL,5.460415170571157
2023-02-07,BRL,5.519051726158733
2023-02-08,BRL,5.5480545475700715
2023-02-09,BRL,5.544683919852232
2023-02-10,BRL,5.4418205832758
2023-02-11,BRL,5.530236460391291
2023-02-12,BRL,5.551752576392198
2023-02-13,BRL,5.449458619165389
2023-02-14,BRL,5.511246658330319
2023-02-15,BRL,5.476893771897629
2023-02-16,BRL,5.444844206011989
2023-02-17,BRL,5.461116666617963
2023-02-18,BRL,5.443286295570524
2023-02-19,BRL,5.550380806654116
2023-02-20,BRL,5.443386529402073
2023-02-21,BRL,5.448489540823154
2023-02-22,BRL,5.524890041452629
2023-02-23,BRL,5.481264476930027
2023-02-24,BRL,5.471543055848493
2023-02-25,BRL,5.498477403552256
2023-02-26,BRL,5.541981038043128
2023-02-27,BRL,5.515711296746117
2023-02-28,BRL,5.465959473920202
2023-03-01,BRL,5.474720306404572
2023-03-02,BRL,5.4648702382329635
2023-03-03,BRL,5.5484167732632965
2023-03-04,BRL,5.531241879495718
2023-03-05,BRL,5.527435234116135
2023-03-06,BRL,5.46231541185868
2023-03-07,BRL,5.46593564184957
2023-03-08,BRL,5.529003381665623
2023-03-09,BRL,5.434366127099644
2023-03-10,BRL,5.4682946171399305
2023-03-11,BRL,5.548110532436208
2023-03-12,BRL,5.5245169671024295
2023-03-13,BRL,5.548326472175537
2023-03-14,BRL,5.533062435985231
2023-03-15,BRL,5.530493093657504
2023-03-16,BRL,5.4546126660034995
2023-03-17,BRL,5.561198842707531
2023-03-18,BRL,5.485242790754389
2023-03-19,BRL,5.52440684648557
2023-03-20,BRL,5.543960617653189
2023-03-21,BRL,5.473171233716395
2023-03-22,BRL,5.504413087142753
2023-03-23,BRL,5.475255248363309
2023-03-24,BRL,5.551620970381783
2023-03-25,BRL,5.557183819722279
2023-03-26,BRL,5.443630744042136
2023-03-27,BRL,5.48355502827749
2023-03-28,BRL,5.492290230735974
2023-03-29,BRL,5.464867335852234
2023-03-30,BRL,5.545210030033752
2023-03-31,BRL,5.492495338936922
2023-04-01,BRL,5.514496983296956
2023-04-02,BRL,5.473736624502776
2023-04-03,BRL,5.4602028076057545
2023-04-04,BRL,5.462229577978245
2023-04-05,BRL,5.44934416826025
2023-04-06,BRL,5.516577412825975
2023-04-07,BRL,5.504845671893878
2023-04-08,BRL,5.5141443492404685
2023-04-09,BRL,5.5164413756275605
2023-04-10,BRL,5.53381883753788
2023-04-11,BRL,5.531407550628983
2023-04-12,BRL,5.454746974861088
2023-04-13,BRL,5.431854083107207
2023-04-14,BRL,5.537899158424879
2023-04-15,BRL,5.444491481335913
2023-04-16,BRL,5.4427949659365185
2023-04-17,BRL,5.497304121500924
2023-04-18,BRL,5.519299012639832
2023-04-19,BRL,5.551932690346754
2023-04-20,BRL,5.527213965450882
2023-04-21,BRL,5.446057700475039
2023-04-22,BRL,5.4643198891769265
2023-04-23,BRL,5.477142146119582
2023-04-24,BRL,5.458167461639972
2023-04-25,BRL,5.438346733732404
2023-04-26,BRL,5.4536682107273196
2023-04-27,BRL,5.43844954406658
2023-04-28,BRL,5.5335592112377645
2023-04-29,BRL,5.471783003488007
2023-04-30,BRL,5.458713538488755
2023-05-01,BRL,5.538618805060841
2023-05-02,BRL,5.460296123471717
2023-05-03,BRL,5.49665109275204
2023-05-04,BRL,5.5461796374576355
2023-05-05,BRL,5.448110952541457
2023-05-06,BRL,5.503773160825215
2023-05-07,BRL,5.431896438330102
2023-05-08,BRL,5.552518501004887
2023-05-09,BRL,5.4786515473614905
2023-05-10,BRL,5.469776699988626
2023-05-11,BRL,5.521799999920333
2023-05-12,BRL,5.526941205571129
2023-05-13,BRL,5.524921368082804
2023-05-14,BRL,5.4915479911763265
2023-05-15,BRL,5.465763526085602
2023-05-16,BRL,5.536938767859626
2023-05-17,BRL,5.45377499952592
2023-05-18,BRL,5.4522615719126275
2023-05-19,BRL,5.465397838813094
2023-05-20,BRL,5.498344869658558
2023-05-21,BRL,5.468413091338955
2023-05-22,BRL,5.551936379631198
2023-05-23,BRL,5.491097382404575
2023-05-24,BRL,5.541838142888902
2023-05-25,BRL,5.550543245625612
2023-05-26,BRL,5.535512374731109
2023-05-27,BRL,5.554573666266878
2023-05-28,BRL,5.546303373397655
2023-05-29,BRL,5.525418933654289
2023-05-30,BRL,5.512731905209487
2023-05-31,BRL,5.479674866000047
2023-06-01,BRL,5.445039558351209
2023-06-02,BRL,5.524250627098604
2023-06-03,BRL,5.5640624910128285
2023-06-04,BRL,5.459137567948657
2023-06-05,BRL,5.476807156710694
2023-06-06,BRL,5.4450305875137515
2023-06-07,BRL,5.512544875663404
2023-06-08,BRL,5.545170932299976
2023-06-09,BRL,5.444962449979469
2023-06-10,BRL,5.46259636002046
2023-06-11,BRL,5.551651324273951
2023-06-12,BRL,5.50887643117373
2023-06-13,BRL,5.51096165372681
2023-06-14,BRL,5.529251904116235
2023-06-15,BRL,5.501744291717416
2023-06-16,BRL,5.477725362242469
2023-06-17,BRL,5.4603018897535796
2023-06-18,BRL,5.535413679519192
2023-06-19,BRL,5.546775722393628
2023-06-20,BRL,5.482852043745121
2023-06-21,BRL,5.510120580767805
2023-06-22,BRL,5.462108228351541
2023-06-23,BRL,5.478555722763411
2023-06-24,BRL,5.4705277569391075
2023-06-25,BRL,5.4698209788427805
2023-06-26,BRL,5.479803284124945
2023-06-27,BRL,5.444708406465023
2023-06-28,BRL,5.518479609954362
2023-06-29,BRL,5.481772681130054
2023-06-30,BRL,5.54083369357434
2023-07-01,BRL,5.529942218030775
2023-07-02,BRL,5.507399573236684
2023-07-03,BRL,5.484208579911369
2023-07-04,BRL,5.516638300767069
2023-07-05,BRL,5.52246943644701
2023-07-06,BRL,5.52569663129999
2023-07-07,BRL,5.526141082035834
2023-07-08,BRL,5.547224132200481
2023-07-09,BRL,5.526090084191535
2023-07-10,BRL,5.461934761168859
2023-07-11,BRL,5.483581270033227
2023-07-12,BRL,5.492645305131906
2023-07-13,BRL,5.45086668851544
2023-07-14,BRL,5.447794545280491
2023-07-15,BRL,5.460092764837421
2023-07-16,BRL,5.552242146173817
2023-07-17,BRL,5.473222158696527
2023-07-18,BRL,5.516639676526678
2023-07-19,BRL,5.557278141498483
2023-07-20,BRL,5.501577443375763
2023-07-21,BRL,5.482627842836973
2023-07-22,BRL,5.506050730954623
2023-07-23,BRL,5.4611127250990075
2023-07-24,BRL,5.468118134000486
2023-07-25,BRL,5.43249135563535
2023-07-26,BRL,5.493106822878202
2023-07-27,BRL,5.467152896932363
2023-07-28,BRL,5.455902357837219
2023-07-29,BRL,5.4790439810644855
2023-07-30,BRL,5.549394175135222
2023-07-31,BRL,5.476002955556756
2023-08-01,BRL,5.497589005067788
2023-08-02,BRL,5.493629912604281
2023-08-03,BRL,5.445210388676241
2023-08-04,BRL,5.5380189187015025
2023-08-05,BRL,5.500399000941867
2023-08-06,BRL,5.526624173841391
2023-08-07,BRL,5.53416431188351
2023-08-08,BRL,5.52011447813546
2023-08-09,BRL,5.515402680126902
2023-08-10,BRL,5.562683657934141
2023-08-11,BRL,5.492569743959183
2023-08-12,BRL,5.473855248748213
2023-08-13,BRL,5.466991630372501
2023-08-14,BRL,5.5488007829635615
2023-08-15,BRL,5.470263279404089
2023-08-16,BRL,5.460027007193238
2023-08-17,BRL,5.535141828529337
2023-08-18,BRL,5.479119316458335
2023-08-19,BRL,5.534136557947426
2023-08-20,BRL,5.456124327081604
2023-08-21,BRL,5.495613798509383
2023-08-22,BRL,5.516504679909726
2023-08-23,BRL,5.494828436869241
2023-08-24,BRL,5.438894735429412
2023-08-25,BRL,5.508101943518751
2023-08-26,BRL,5.541689248206452
2023-08-27,BRL,5.5603501742790575
2023-08-28,BRL,5.54954956378298
2023-08-29,BRL,5.445612402836048
2023-08-30,BRL,5.490171652814138
2023-08-31,BRL,5.547851252973166
2023-09-01,BRL,5.545962553127596
2023-09-02,BRL,5.542757696011426
2023-09-03,BRL,5.4489196223876535
2023-09-04,BRL,5.434637524263889
2023-09-05,BRL,5.482983670771849
2023-09-06,BRL,5.497511160542549
2023-09-07,BRL,5.54007502227222
2023-09-08,BRL,5.490111077141979
2023-09-09,BRL,5.54310064293243
2023-09-10,BRL,5.489125914192614
2023-09-11,BRL,5.4861130611591165
2023-09-12,BRL,5.443839439045181
2023-09-13,BRL,5.507104451381134
2023-09-14,BRL,5.476034344170606
2023-09-15,BRL,5.52785733632437
2023-09-16,BRL,5.450750692765391
2023-09-17,BRL,5.513983665217846
2023-09-18,BRL,5.435374142896221
2023-09-19,BRL,5.55187742246996
2023-09-20,BRL,5.477515184643456
2023-09-21,BRL,5.4842993132304
2023-09-22,BRL,5.547085744320258
2023-09-23,BRL,5.512781590428749
2023-09-24,BRL,5.521837818531322
2023-09-25,BRL,5.469419708146313
2023-09-26,BRL,5.5275649540180005
2023-09-27,BRL,5.481127124080503
2023-09-28,BRL,5.545141295416178
2023-09-29,BRL,5.535956320298234
2023-09-30,BRL,5.522451066198238
2023-10-01,BRL,5.508600581911398
2023-10-02,BRL,5.531383314944707
2023-10-03,BRL,5.491361957083442
2023-10-04,BRL,5.4846978115040015
